,name_x,id,name_y,school/dept,medic,medic_cross,medic_dept
0,"Tropea,D",6508358930,"Tropea,D",psychiatry,no,,psychiatry
29,"Kerskens,C",6506921926,"Kerskens,C",physics,no,,physics
30,"Lopez-Valdes,A",55775348600,"Lopez-Valdes,A",engineering,no,,engineering
32,"Di Liberto,G",56893669400,"Di Liberto,G",engineering,no,,engineering
33,"O'Keane,V",55963926800,"O'Keane,V",psychiatry,no,,psychiatry
34,"Dockree,P",6508334448,"Dockree,P",psychology,no,,psychology
35,"Farrar,G",7102939943,"Farrar,G",genetics,no,,genetics
36,"Lynch,A",7102636970,"Lynch,A",nursing,no,,nursing
37,"Cusack,R",7005681420,"Cusack,R",psychology,no,,psychology
39,"Rozas,I",7004096240,"Rozas,I",chemistry,no,,chemistry
40,"Ryan,T",23670791300,"Ryan,T",biochemistry,no,,biochemistry
42,"Bokde,A",6602566280,"Bokde,A",psychiatry,no,,psychiatry
43,"Lynch,M",7401592953,"Lynch,M",physiology,no,,physiology
45,"Mitchell,K",9036948400,"Mitchell,K",genetics,no,,genetics
46,"McCarthy-Jones,S",37041677700,"McCarthy-Jones,S",psychiatry,no,,psychiatry
48,"Robertson,I",7202282108,"Robertson,I",psychology,no,,psychology
50,"Ahmad,K",7202244730,"Ahmad,K",computer science,no,,computer science
51,"Tsanov,M",16426642900,"Tsanov,M",psychology,no,,psychology
52,"Reilly,R",7102935766,"Reilly,R",engineering,no,,engineering
54,"Cunningham,C",7201736265,"Cunningham,C",biochemistry,no,,biochemistry
55,"Carson,R",7202926065,"Carson,R",psychology,no,,psychology
57,"Caldwell,M",7101755352,"Caldwell,M",physiology,no,,physiology
59,"Newell,F",7004915318,"Newell,F",psychology,no,,psychology
61,"Byrne,R",56018937500,"Byrne,R",psychology,no,,psychology
28,"Labrador,J",6603234639,"Labrador,J",genetics,no,,genetics
26,"Mills,K",7202875495,"Mills,K",biochemistry,no,,biochemistry
31,"Lalor,E",8843627500,"Lalor,E",engineering,no,,engineering
11,"Downer,E",6508208711,"Downer,E",genetics,no,,genetics
8,"Humphries,P",7006558850,"Humphries,P",genetics,no,,genetics
5,"Ramaswami,M",36834301600,"Ramaswami,M",genetics,no,,genetics
9,"Witney,A",6701806140,"Witney,A",physiology,no,,physiology
10,"Kelly,A",7402153477,"Kelly,A",physiology,no,,physiology
25,"Campbell,M",23988634300,"Campbell,M",genetics,no,,genetics
12,"Kelly,C",14058373600,"Kelly,C",psychology/psychiatry,no,,psychology/psychiatry
13,"O'Connell,R",7103138829,"O'Connell,R",psychology,no,,psychology
14,"Gillan,C",50161540900,"Gillan,C",psychology,no,,psychology
7,"Naçi,L",8565340000,"Naçi,L",psychology,no,,psychology
15,"Doyle,S",7101941609,"Doyle,S",genetics,no,,genetics
17,"Dev,K",7004135414,"Dev,K",physiology,no,,physiology
18,"Whelan,R",14030625500,"Whelan,R",psychology,no,,psychology
19,"Campbell,V",7005003245,"Campbell,V",physiology,no,,physiology
20,"Sasse,A",35803851000,"Sasse,A",pharmacy,no,,pharmacy
1,"Davey,G",7102000872,"Davey,G",biochemistry,no,,biochemistry
23,"O'Mara,S",7004191598,"O'Mara,S",psychology,no,,psychology
24,"Harkin,A",7003625060,"Harkin,A",pharmocology,no,,pharmocology
16,"Kenna,P",7003500444,"Kenna,P",genetics,no,,genetics
6,"Rowan,M",7103383672,"Rowan,M",pharmocology,no,,pharmocology
58,"Romero-Ortuño,R",6506965877,"Romero-Ortuño,R",gerontology,yes,+,+gerontology
3,"P Doherty,C",57205752212,"P Doherty,C",neurology,yes,+,+neurology
56,"Cannon,M",7202419754,"Cannon,M",psychiatry,yes,+,+psychiatry
2,"Kenny,R",57214210019,"Kenny,R",gerontology,yes,+,+gerontology
60,"Molloy,E",6603848328,"Molloy,E",pediatrics,yes,+,+pediatrics
4,"Lawlor,B",20334798100,"Lawlor,B",gerontology,yes,+,+gerontology
27,"Doherty,C",7102240088,"Doherty,C",neurology,yes,+,+neurology
49,"Harbison,J",7006388802,"Harbison,J",gerontology,yes,+,+gerontology
47,"McLoughlin,D",7005061686,"McLoughlin,D",psychiatry,yes,+,+psychiatry
44,"Hardiman,O",57201275401,"Hardiman,O",neurology,yes,+,+neurology
41,"Corvin,A",57217656691,"Corvin,A",psychiatry,yes,+,+psychiatry
38,"Kelly,J",35584095400,"Kelly,J",clinical medicine,yes,+,+clinical medicine
21,"O'Neill,D",7101811060,"O'Neill,D",gerontology,yes,+,+gerontology
62,"Gill,M",57211767979,"Gill,M",psychiatry,yes,+,+psychiatry
22,"Gallagher,L",7005393044,"Gallagher,L",psychiatry,yes,+,+psychiatry
53,"Kennelly,S",16555220300,"Kennelly,S",gerontology,yes,+,+gerontology
63,"McCrory,C",6603910965,"McCrory,C",surgery,yes,+,+surgery
