source,target,value
1,1,12.0
1,1,10.0
1,1,8.0
1,19,2.0
1,13,1.0
1,9,3.0
1,1,1.0
1,4,7.0
17,17,0.5
17,13,1.0
19,19,1.5
19,19,1.0
19,13,1.0
19,4,1.0
19,2,1.0
10,10,9.0
10,10,8.0
10,10,2.0
10,2,10.0
10,10,1.0
16,16,52.0
16,14,1.0
16,17,98.0
16,3,5.0
4,4,2.5
4,13,3.0
4,4,2.0
4,4,1.0
4,2,1.0
4,16,1.0
17,17,2.5
17,2,5.0
10,10,5.0
10,2,2.0
10,1,1.0
10,10,1.0
10,3,1.0
1,1,5.5
1,9,2.0
1,1,1.0
1,1,1.0
6,6,2.0
6,13,1.0
6,13,1.0
6,9,1.0
6,15,1.0
6,10,1.0
14,14,2.0
14,18,2.0
14,13,2.0
14,15,1.0
10,10,6.5
10,10,11.0
1,1,31.5
1,19,2.0
1,17,2.0
1,17,23.0
1,9,3.0
1,1,6.0
1,9,3.0
1,4,15.0
1,17,1.0
1,17,8.0
1,17,4.0
1,1,1.0
2,2,6.0
2,18,1.0
19,19,2.0
19,4,3.0
17,17,4.0
17,13,2.0
17,17,7.0
17,17,4.0
17,17,2.0
18,18,2.5
18,13,3.0
18,9,1.0
18,17,1.0
13,13,1.0
13,9,1.0
17,17,2.5
17,17,4.0
17,17,13.5
17,17,1.0
17,17,4.0
13,13,5.5
13,17,1.0
13,17,2.0
13,17,2.0
9,9,8.5
9,1,5.0
9,9,1.0
9,9,2.0
9,2,1.0
9,17,1.0
9,15,1.0
15,15,1.0
15,3,2.0
15,15,1.0
15,6,1.0
1,1,7.0
1,9,1.0
1,1,1.0
1,15,1.0
9,9,2.5
9,9,2.0
9,17,2.0
9,17,2.0
10,10,6.0
9,9,1.5
4,4,12.5
4,2,2.0
4,17,1.0
4,17,1.0
16,16,0.5
2,2,4.5
15,15,0.5
17,17,4.0
17,17,1.0
17,17,3.0
17,17,1.0
17,17,11.0
17,17,10.0
17,17,1.0
1,1,1.0
17,17,60.0
17,17,1.0
17,4,4.0
17,4,3.0
17,17,1.5
17,15,1.0
10,10,1.5
10,17,2.0
1,1,0.5
6,6,0.5
4,4,2.5
4,4,1.0
17,17,2.5
4,4,2.0
15,15,1.0
17,17,2.0
3,3,4.0
