,source,target,value
1,0,2,1.0
3,1,2,11.0
4,1,3,2.0
5,1,4,42.0
6,1,9,16.0
7,1,10,2.0
8,1,13,14.0
9,1,14,1.0
10,1,15,4.0
11,1,16,13.0
12,1,17,52.0
13,2,1,5.0
15,2,3,1.0
16,2,4,8.0
17,2,9,3.0
18,2,10,1.0
19,2,14,1.0
20,2,17,2.0
22,4,2,2.0
24,4,9,6.0
25,4,10,5.0
26,4,16,9.0
27,4,17,19.0
28,6,1,1.0
29,6,2,1.0
31,6,13,1.0
32,6,15,24.0
33,9,1,7.0
34,9,2,6.0
35,9,4,3.0
37,9,16,5.0
38,9,17,4.0
39,10,0,4.0
40,10,2,14.0
41,10,3,4.0
42,10,4,7.0
43,10,6,5.0
45,10,11,1.0
46,10,14,8.0
47,10,15,16.0
48,10,17,6.0
50,11,15,12.0
51,13,1,11.0
52,13,2,2.0
53,13,4,9.0
54,13,6,4.0
55,13,10,1.0
57,13,14,4.0
58,13,15,1.0
59,13,16,6.0
60,13,17,2.0
61,14,0,1.0
62,14,10,2.0
64,14,15,5.0
65,14,16,2.0
66,15,6,4.0
67,15,10,1.0
68,15,11,3.0
69,15,13,2.0
70,15,14,2.0
72,15,17,7.0
73,16,1,1.0
74,16,2,11.0
75,16,3,5.0
76,16,4,47.0
77,16,9,2.0
78,16,10,2.0
79,16,13,1.0
81,16,17,9.0
82,17,0,1.0
83,17,2,6.0
84,17,4,42.0
85,17,6,2.0
86,17,9,58.0
87,17,10,1.0
88,17,13,2.0
89,17,14,2.0
90,17,15,2.0
91,17,16,150.0
93,18,2,4.0
94,18,4,10.0
95,18,13,2.0
96,18,16,6.0
97,18,17,14.0
