author_scopus_id,tcin_author,title,url,cover_date,citations,journal,issn,eissn,journal_norm,issn_norm,eissn_norm,impact_from_eissn,impact_from_issn,impact_from_journal,impact_factor,impact_match_source,impact_band
6602566280,"Bokde, Arun L.W.",Genome-wide association study unravels mechanisms of brain glymphatic activity,https://api.elsevier.com/content/abstract/scopus_id/85215600537,2025-12-01,16,Nature Communications,,20411723,nature communications,,20411723,23.4,,23.4,23.4,eissn,16-32
6602566280,"Bokde, Arun L.W.",Trajectories of delay discounting and smoking from adolescence to young adulthood,https://api.elsevier.com/content/abstract/scopus_id/105021872014,2025-12-01,0,Drug and Alcohol Dependence,03768716,18790046,drug and alcohol dependence,03768716,18790046,7.9,7.9,7.9,7.9,eissn,4-8
6602566280,"Bokde, Arun L.W.",Psychotic-Like Experiences and White Matter Microstructure: A Fixel-Based Analysis Approach With Robust Replication Across Two Cohorts,https://api.elsevier.com/content/abstract/scopus_id/105024386110,2025-12-01,0,Human Brain Mapping,10659471,10970193,human brain mapping,10659471,10970193,8.1,8.1,8.1,8.1,eissn,8-16
6602566280,"Bokde, Arun L.W.",Mapping the coupling between tract reachability and cortical geometry of the human brain,https://api.elsevier.com/content/abstract/scopus_id/105013416958,2025-12-01,1,Nature Communications,,20411723,nature communications,,20411723,23.4,,23.4,23.4,eissn,16-32
6602566280,"Bokde, Arun L.W.",Genetic risk-dependent brain markers of resilience to childhood Trauma,https://api.elsevier.com/content/abstract/scopus_id/105010661736,2025-12-01,1,Nature Communications,,20411723,nature communications,,20411723,23.4,,23.4,23.4,eissn,16-32
6602566280,"Bokde, Arun L.W.",Variation in moment-to-moment brain state engagement follows a consistent trajectory during development,https://api.elsevier.com/content/abstract/scopus_id/105018119783,2025-11-19,1,Neuron,08966273,10974199,neuron,08966273,10974199,22.1,22.1,22.1,22.1,eissn,16-32
6602566280,"Bokde, Arun L.W.",Identification and External Validation of a Problem Cannabis Risk Network,https://api.elsevier.com/content/abstract/scopus_id/105002133281,2025-10-15,1,Biological Psychiatry,00063223,18732402,biological psychiatry,00063223,18732402,18.2,18.2,18.2,18.2,eissn,16-32
6602566280,"Bokde, Arun L.W.",Multimodal Investigations of Structural and Functional Brain Alterations in Anorexia and Bulimia Nervosa and Their Relationships to Psychopathology,https://api.elsevier.com/content/abstract/scopus_id/85218089910,2025-08-01,9,Biological Psychiatry,00063223,18732402,biological psychiatry,00063223,18732402,18.2,18.2,18.2,18.2,eissn,16-32
6602566280,"Bokde, Arun L.W.",Distinct neural networks of emotional valence and uncertainty in the human amygdala underlying different mental disorders,https://api.elsevier.com/content/abstract/scopus_id/85218864655,2025-07-15,3,Science Bulletin,20959273,20959281,science bulletin,20959273,20959281,20.3,20.3,20.3,20.3,eissn,16-32
6602566280,"Bokde, Arun L.W.",Cognitive predictors of mental health trajectories are mediated by inferior frontal and occipital development during adolescence,https://api.elsevier.com/content/abstract/scopus_id/85217549864,2025-07-01,6,Molecular Psychiatry,13594184,14765578,molecular psychiatry,13594184,14765578,22.1,22.1,22.1,22.1,eissn,16-32
