tcin-author,url,citations,author-scopus-id,title,pubDate
"Bokde, Arun L.W.",https://api.elsevier.com/content/abstract/scopus_id/85208268599,0, 6602566280,Altered sleep and inflammation are related to outcomes in neonatal encephalopathy,2025-02-01
"Bokde, Arun L.W.",https://api.elsevier.com/content/abstract/scopus_id/84878911089,43, 6602566280,Changes in resting connectivity with age: A simultaneous electroencephalogram and functional magnetic resonance imaging investigation,2013-09-01
"Bokde, Arun L.W.",https://api.elsevier.com/content/abstract/scopus_id/84864389345,98, 6602566280,A simultaneous ERP/fMRI investigation of the P300 aging effect,2012-10-01
"Bokde, Arun L.W.",https://api.elsevier.com/content/abstract/scopus_id/80052531964,51, 6602566280,"Donepezil impairs memory in healthy older subjects: Behavioural, EEG and simultaneous EEG/fMRI biomarkers",2011-09-08
"Bokde, Arun L.W.",https://api.elsevier.com/content/abstract/scopus_id/70349183430,104, 6602566280,Assessing neuronal networks: Understanding Alzheimer's disease,2009-10-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/85202073322,11, 55775348600,Brain clocks capture diversity and disparities in aging and dementia across geographically diverse populations,2024-12-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/85210293256,1, 55775348600,Cortical encoding of phonetic onsets of both attended and ignored speech in hearing impaired individuals,2024-11-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/85185541299,4, 55775348600,Brain Wearables: Validation Toolkit for Ear-Level EEG Sensors,2024-02-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/85214979803,0, 55775348600,Analysis of synchronization component dynamics during a cooperative group task as assessed by electroencephalography,2024-01-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/85179639300,2, 55775348600,'The Mind' promotes brain synchronization: an ecological evaluation of brain synchronization in co-operative tasks,2023-01-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/85171538217,0, 55775348600,Effects of spectral and temporal modulation degradation on intelligibility and cortical tracking of speech signals,2023-01-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/84940377895,1, 55775348600,Electrophysiological correlates of spectral discrimination for cochlear implant users,2015-07-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/84940367419,0, 55775348600,An approach to develop an objective measure of temporal processing in cochlear implant users based on Schroeder-phase harmonic complexes,2015-07-01
"Lopez-Valdes, Alejandro",https://api.elsevier.com/content/abstract/scopus_id/84886580634,9, 55775348600,Auditory mismatch negativity in cochlear implant users: A window to spectral discrimination,2013-10-31
"Corvin, Aiden P.",https://api.elsevier.com/content/abstract/scopus_id/85085622507,18, 57217656691,"Prevalence of N-Methyl-D-Aspartate Receptor antibody (NMDAR-Ab) encephalitis in patients with first episode psychosis and treatment resistant schizophrenia on clozapine, a population based study",2020-08-01
"Corvin, Aiden P.",https://api.elsevier.com/content/abstract/scopus_id/84859445021,19, 57217656691,A NOS1 variant implicated in cognitive performance influences evoked neural responses during a high density EEG study of early visual perception,2012-05-01
"Corvin, Aiden P.",https://api.elsevier.com/content/abstract/scopus_id/72449192631,25, 57217656691,Reduced occipital and prefrontal brain volumes in dysbindin-associated schizophrenia,2010-01-01
"Lawlor, Brian A.",https://api.elsevier.com/content/abstract/scopus_id/85007330724,10, 20334798100,"The NEIL Memory Research Unit: Psychosocial, biological, physiological and lifestyle factors associated with healthy ageing: Study protocol",2015-01-01
